x1,y1,x2,y2,x3,y3,x4,y4,
3242,1552,0,0,0,0,3810,2134,1
2614,1610,0,0,0,0,3238,2119,2
1460,1687,0,0,0,0,2140,2117,3
352,1762,0,0,0,0,946,2128,4
2686,1175,0,0,0,0,3144,1721,5
1916,1177,0,0,0,0,2452,1591,6
1142,1224,0,0,0,0,1502,1595,7
696,1066,0,0,0,0,1106,1550,8
3058,1139,0,0,0,0,3834,1610,9
2350,1381,0,0,0,0,2842,1732,10
1500,1409,0,0,0,0,2124,1646,11
876,1484,0,0,0,0,1422,1871,12
2480,983,0,0,0,0,2790,1167,13
2068,963,0,0,0,0,2376,1154,14
1564,959,0,0,0,0,1826,1111,15
1264,948,0,0,0,0,1498,1212,16
2764,1250,0,0,0,0,3046,1561,17
2296,1259,0,0,0,0,2590,1381,18
1604,1304,0,0,0,0,1984,1409,19
1190,1299,0,0,0,0,1536,1603,20
2384,888,0,0,0,0,2590,970,21
2106,891,0,0,0,0,2266,953,22
1726,833,0,0,0,0,1886,970,23
1412,826,0,0,0,0,1602,948,24
2546,1120,0,0,0,0,2810,1257,25
2282,1120,0,0,0,0,2562,1261,26
1672,1203,0,0,0,0,1976,1299,27
1346,1218,0,0,0,0,1634,1364,28
2328,824,0,0,0,0,2514,957,29
2110,788,0,0,0,0,2250,886,30
1822,784,0,0,0,0,1960,880,31
1604,771,0,0,0,0,1748,888,32
1684,1096,0,0,0,0,1994,1197,33
1408,1107,0,0,0,0,1654,1214,34
2266,760,0,0,0,0,2394,861,35
2070,741,0,0,0,0,2218,822,36
1942,1050,0,0,0,0,2710,1367,37
1024,933,0,0,0,0,1592,1363,38
1408,715,0,0,0,0,1910,1032,39
764,708,0,0,0,0,1158,1015,40
