x1,y1,x2,y2,x3,y3,x4,y4,
3242,1552,0,0,0,0,3810,2134,1
2614,1610,0,0,0,0,3238,2119,2
1460,1687,0,0,0,0,2140,2117,3
352,1762,0,0,0,0,946,2128,4
3058,1139,0,0,0,0,3834,1610,9
2350,1381,0,0,0,0,2842,1732,10
1500,1409,0,0,0,0,2124,1646,11
876,1484,0,0,0,0,1422,1871,12
2764,1250,0,0,0,0,3046,1561,17
2296,1259,0,0,0,0,2590,1381,18
1604,1304,0,0,0,0,1984,1409,19
1190,1299,0,0,0,0,1536,1603,20
2546,1120,0,0,0,0,2810,1257,25
2282,1120,0,0,0,0,2562,1261,26
1672,1203,0,0,0,0,1976,1299,27
1346,1218,0,0,0,0,1634,1364,28
1684,1096,0,0,0,0,1994,1197,33
1408,1107,0,0,0,0,1654,1214,34
