frame,whole_area,white_area,black_area,white_area_ratio
6,3367008,175887,3191121,5.223836712000685
7,3367008,275992,3091016,8.196951120995259
8,3367008,219640,3147368,6.5232990239405435
9,3367008,216478,3150530,6.429387753162452
10,3367008,179595,3187413,5.333964160465316
11,3367008,180968,3186040,5.374742204354726
12,3367008,169870,3197138,5.045132057898289
13,3367008,168876,3198132,5.0156102985202295
14,3367008,157894,3209114,4.689445347323202
15,3367008,149655,3217353,4.4447473840275995
16,3367008,131028,3235980,3.891526245259887
17,3367008,169984,3197024,5.048517853239434
18,3367008,154444,3212564,4.586980488314848
19,3367008,169028,3197980,5.020124692308423
20,3367008,119768,3247240,3.5571047054239253
21,3367008,112535,3254473,3.342284901015976
22,3367008,127764,3239244,3.794585578650244
23,3367008,132796,3234212,3.9440357730067763
24,3367008,103501,3263507,3.0739754702097533
25,3367008,115049,3251959,3.4169505982759767
26,3367008,116074,3250934,3.4473930563871544
27,3367008,146529,3220479,4.351905311778291
28,3367008,84109,3282899,2.498033862705405
29,3367008,93962,3273046,2.7906675600414372
30,3367008,97597,3269411,2.89862691148937
31,3367008,108108,3258900,3.2108031819348217
32,3367008,91985,3275023,2.7319507408357806
33,3367008,101821,3265187,3.0240795388665545
34,3367008,91082,3275926,2.7051316777388115
35,3367008,103264,3263744,3.066936579895266
36,3367008,98073,3268935,2.912764092036609
37,3367008,100798,3266210,2.9936964806736426
38,3367008,87790,3279218,2.607359412273449
39,3367008,104641,3262367,3.107833423621209
40,3367008,75769,3291239,2.2503362035373837
41,3367008,82925,3284083,2.462869111092103
42,3367008,69312,3297696,2.058563567416531
43,3367008,89522,3277486,2.6587997414915554
44,3367008,68173,3298835,2.0247353139642077
45,3367008,71793,3295215,2.1322491660251472
46,3367008,73819,3293189,2.1924212832283145
47,3367008,79408,3287600,2.3584143548218477
48,3367008,70872,3296136,2.104895503663787
49,3367008,87212,3279796,2.590192835894658
50,3367008,74485,3292523,2.2122014560107965
51,3367008,88558,3278450,2.6301689808874826
52,3367008,78715,3288293,2.3378322831427782
53,3367008,73492,3293516,2.18270939659187
54,3367008,62780,3304228,1.8645634343607145
55,3367008,75627,3291381,2.246118809340518
56,3367008,99301,3267707,2.949235641851757
57,3367008,96102,3270906,2.8542254725857497
58,3367008,78697,3288311,2.3372976838783868
59,3367008,77758,3289250,2.309409422252635
60,3367008,67614,3299394,2.0081330368089416
61,3367008,97085,3269923,2.8834205324133477
62,3367008,99640,3267368,2.9593039279977953
63,3367008,82181,3284827,2.440772341497258
64,3367008,64502,3302506,1.9157067639874927
65,3367008,82398,3284610,2.447217232629088
66,3367008,81792,3285216,2.429219057394577
67,3367008,71742,3295266,2.130734468109372
68,3367008,66885,3300123,1.9864817666010892
69,3367008,74949,3292059,2.225982237048442
70,3367008,64886,3302122,1.9271115482945096
71,3367008,64179,3302829,1.9061136771875802
72,3367008,64329,3302679,1.9105686710575085
73,3367008,61652,3305356,1.8310618804588525
74,3367008,56444,3310564,1.6763844932949374
75,3367008,60647,3306361,1.801213421530332
76,3367008,52026,3314982,1.5451700738459784
77,3367008,56755,3310253,1.6856211805852555
78,3367008,56098,3310910,1.666108307434969
79,3367008,86828,3280180,2.578788051587641
80,3367008,85526,3281482,2.5401187047966625
81,3367008,86388,3280620,2.5657200695691844
82,3367008,83868,3283140,2.4908761725543864
83,3367008,78608,3288400,2.3346543875155628
84,3367008,92075,3274933,2.7346237371577375
85,3367008,138165,3228843,4.103494853591082
86,3367008,92077,3274931,2.7346831370760034
87,3367008,116840,3250168,3.4701432250829223
88,3367008,127603,3239405,3.789803885229854
89,3367008,141062,3225946,4.1895356351989665
90,3367008,85229,3281779,2.531297816934204
91,3367008,112163,3254845,3.3312365162185538
92,3367008,98191,3268817,2.9162686872142864
93,3367008,101331,3265677,3.009526558891455
94,3367008,75424,3291584,2.2400897176365486
95,3367008,92765,3274243,2.755116708959408
96,3367008,90398,3276610,2.6848169056919375
97,3367008,83261,3283747,2.4728482973607426
98,3367008,73228,3293780,2.1748686073807963
99,3367008,75125,3291883,2.2312094298558245
100,3367008,69819,3297189,2.0736214466968894
101,3367008,76040,3290968,2.258384892462388
102,3367008,62638,3304370,1.860346040163849
103,3367008,71716,3295292,2.1299622691719176
104,3367008,67285,3299723,1.9983617502542315
105,3367008,75156,3291852,2.232130128588943
106,3367008,60061,3306947,1.7838092454784782
107,3367008,59293,3307715,1.7609996768644447
108,3367008,64644,3302364,1.9199241581843582
109,3367008,73813,3293195,2.1922430834735174
110,3367008,64124,3302884,1.904480179435273
111,3367008,72096,3294912,2.141248253642403
112,3367008,90761,3276247,2.6955979908571646
113,3367008,106477,3260531,3.162362548589133
114,3367008,108908,3258100,3.234563149241106
115,3367008,120323,3246685,3.5735881827426605
116,3367008,96555,3270453,2.8676795540729336
117,3367008,110633,3256375,3.2857955787452835
118,3367008,103115,3263893,3.0625112859844705
119,3367008,110035,3256973,3.2680350031838357
120,3367008,92222,3274786,2.7389896311502673
121,3367008,100556,3266452,2.9865090905634917
122,3367008,77956,3289052,2.3152900141609405
123,3367008,115160,3251848,3.420247293739724
124,3367008,100045,3266963,2.971332411446602
125,3367008,93383,3273625,2.773471283703514
126,3367008,118940,3248068,3.5325131392619205
127,3367008,112608,3254400,3.3444529980326743
128,3367008,95256,3271752,2.8290993071593533
129,3367008,98291,3268717,2.919238683127572
130,3367008,92964,3274044,2.761027000826847
131,3367008,122432,3244576,3.6362253965538542
132,3367008,76862,3290146,2.2827982588695956
133,3367008,77523,3289485,2.302429931856414
134,3367008,74220,3292788,2.2043309668405895
135,3367008,81628,3285380,2.4243482640967886
136,3367008,95917,3271091,2.848730980146171
137,3367008,98219,3268789,2.9171002860700064
138,3367008,88762,3278246,2.636227772550585
139,3367008,95453,3271555,2.834950199108526
140,3367008,104367,3262641,3.0996956348188065
141,3367008,99384,3267624,2.9517007384597838
142,3367008,92858,3274150,2.757878805158764
143,3367008,96542,3270466,2.867293454604207
144,3367008,112510,3254498,3.3415424020376547
145,3367008,103232,3263776,3.065986181203015
146,3367008,94485,3272523,2.8062006386679212
147,3367008,90823,3276185,2.6974393883234016
148,3367008,77328,3289680,2.296638439825507
149,3367008,92682,3274326,2.7526516123513813
150,3367008,109493,3257515,3.2519376253338277
151,3367008,100597,3266411,2.9877267888879384
152,3367008,98097,3268911,2.9134768910557978
153,3367008,131684,3235324,3.9110094184510404
154,3367008,115653,3251355,3.4348893735922217
155,3367008,137905,3229103,4.0957728642165385
156,3367008,127495,3239513,3.7865962896435055
157,3367008,123097,3243911,3.6559758693772038
158,3367008,120527,3246481,3.579646974405763
159,3367008,129016,3237992,3.8317699274845793
160,3367008,113164,3253844,3.3609661753105433
161,3367008,111971,3255037,3.325534124065045
162,3367008,110229,3256779,3.2737967952556097
163,3367008,116308,3250700,3.4543428468242423
164,3367008,116480,3250528,3.4594512397950936
165,3367008,117413,3249595,3.487161301666049
166,3367008,107727,3259281,3.1994874975052032
167,3367008,118323,3248685,3.514188264476948
168,3367008,111149,3255859,3.3011207576578374
169,3367008,124320,3242688,3.692298919396687
170,3367008,151570,3215438,4.50162280576702
171,3367008,129594,3237414,3.8489365038633707
172,3367008,128100,3238908,3.804564764918884
173,3367008,124223,3242785,3.6894180233608
174,3367008,122108,3244900,3.6266026097948085
175,3367008,136592,3230416,4.0567768178750985
176,3367008,144339,3222669,4.286862401277336
177,3367008,148530,3218478,4.411334930003137
178,3367008,147707,3219301,4.386891863636796
179,3367008,180044,3186964,5.347299442115968
180,3367008,140782,3226226,4.181219646641766
181,3367008,139862,3227146,4.153895684239538
182,3367008,132192,3234816,3.9260969976905313
183,3367008,140893,3226115,4.184516342105513
184,3367008,136375,3230633,4.050331926743269
185,3367008,144097,3222911,4.279675011167185
186,3367008,139490,3227518,4.142847299442116
187,3367008,164331,3202677,4.880623984261398
188,3367008,128950,3238058,3.8298097301818115
189,3367008,127810,3239198,3.7959517767703552
190,3367008,142747,3224261,4.239580066337829
191,3367008,309080,3057928,9.179663368783205
192,3367008,273597,3093411,8.125819718872068
193,3367008,238411,3128597,7.080796956823388
194,3367008,175863,3191145,5.223123912981496
195,3367008,161379,3205629,4.792949704901206
196,3367008,126408,3240600,3.7543124340660907
197,3367008,133801,3233207,3.973884231935297
198,3367008,144518,3222490,4.292178693962117
199,3367008,168319,3198689,4.999067421283229
200,3367008,134551,3232457,3.9961592012849394
201,3367008,119206,3247802,3.54041332839126
202,3367008,124533,3242475,3.6986250106919853
203,3367008,131936,3235072,3.91849380815252
204,3367008,147043,3219965,4.36717109077258
205,3367008,163551,3203457,4.85745801613777
206,3367008,132955,3234053,3.9487580665089004
207,3367008,133602,3233406,3.9679739400678584
208,3367008,148725,3218283,4.417126422034044
209,3367008,141042,3225966,4.188941636016309
210,3367008,126400,3240608,3.7540748343930277
211,3367008,114381,3252627,3.397111025575229
212,3367008,98327,3268681,2.920307881656355
213,3367008,101569,3265439,3.0165951491650747
214,3367008,99501,3267507,2.955175633678328
215,3367008,105760,3261248,3.1410676778908755
216,3367008,128444,3238564,3.814781550860586
217,3367008,119228,3247780,3.5410667274921828
218,3367008,107627,3259381,3.1965175015919183
219,3367008,118945,3248063,3.5326616390575847
220,3367008,121674,3245334,3.6137128275311494
221,3367008,127593,3239415,3.789506885638525
222,3367008,136395,3230613,4.050925925925926
223,3367008,140126,3226882,4.161736473450612
224,3367008,110419,3256589,3.2794397874908525
225,3367008,123352,3243656,3.6635493589560824
226,3367008,117178,3249830,3.480181811269828
227,3367008,119102,3247906,3.537324532641443
228,3367008,100006,3267002,2.9701741130404207
229,3367008,100043,3266965,2.971273011528336
