frame,whole_area,white_area,black_area,white_area_ratio
6,3410268,43709,3366559,1.281688125
7,3410268,46731,3363537,1.370302862
8,3410268,53574,3356694,1.570961578
9,3410268,45924,3364344,1.346639032
10,3410268,53871,3356397,1.579670571
11,3410268,65293,3344975,1.91460026
12,3410268,46735,3363533,1.370420155
13,3410268,39859,3370409,1.168793772
14,3410268,49880,3360388,1.462641646
15,3410268,52762,3357506,1.547151133
16,3410268,72110,3338158,2.114496573
17,3410268,53889,3356379,1.580198389
18,3410268,62853,3347415,1.843051631
19,3410268,85731,3324537,2.513907998
20,3410268,88691,3321577,2.600704695
21,3410268,59580,3350688,1.747076769
22,3410268,62631,3347637,1.836541879
23,3410268,55071,3355197,1.614858422
24,3410268,52586,3357682,1.541990248
25,3410268,82065,3328203,2.406409115
26,3410268,56468,3353800,1.655822944
27,3410268,51662,3358606,1.514895604
28,3410268,41831,3368437,1.22661914
29,3410268,54206,3356062,1.589493846
30,3410268,48799,3361469,1.430943257
31,3410268,44153,3366115,1.29470763
32,3410268,58616,3351652,1.718809196
33,3410268,54849,3355419,1.608348669
34,3410268,43015,3367253,1.261337819
35,3410268,50864,3359404,1.491495683
36,3410268,60480,3349788,1.773467657
37,3410268,50832,3359436,1.49055734
38,3410268,58817,3351451,1.724703161
39,3410268,63902,3346366,1.873811677
40,3410268,87922,3322346,2.578155148
41,3410268,77985,3332283,2.286770424
42,3410268,74775,3335493,2.192642924
43,3410268,95641,3314627,2.804500995
44,3410268,66093,3344175,1.938058827
45,3410268,69703,3340565,2.04391561
46,3410268,61519,3348749,1.803934471
47,3410268,49314,3360954,1.44604471
48,3410268,60759,3349509,1.781648832
49,3410268,51697,3358571,1.515921916
50,3410268,79205,3331063,2.322544738
51,3410268,49091,3361177,1.439505634
52,3410268,42224,3368044,1.238143161
53,3410268,47459,3362809,1.391650158
54,3410268,57830,3352438,1.695761154
55,3410268,55704,3354564,1.633420013
56,3410268,83271,3326997,2.441772905
57,3410268,84669,3325599,2.48276675
58,3410268,53842,3356426,1.578820198
59,3410268,43809,3366459,1.284620446
60,3410268,46963,3363305,1.377105846
61,3410268,50751,3359517,1.48818216
62,3410268,48881,3361387,1.43334776
63,3410268,76475,3333793,2.242492379
64,3410268,57470,3352798,1.685204799
65,3410268,93666,3316602,2.746587658
66,3410268,52972,3357296,1.553309007
67,3410268,53650,3356618,1.573190142
68,3410268,49110,3361158,1.440062775
69,3410268,51401,3358867,1.507242246
70,3410268,57209,3353059,1.677551442
71,3410268,53627,3356641,1.572515708
72,3410268,50595,3359673,1.48360774
73,3410268,58045,3352223,1.702065644
74,3410268,50754,3359514,1.48827013
75,3410268,52683,3357585,1.5448346
76,3410268,100017,3310251,2.932819356
77,3410268,53764,3356504,1.576532988
78,3410268,53727,3356541,1.575448029
79,3410268,60400,3349868,1.7711218
80,3410268,70672,3339596,2.072329799
81,3410268,50453,3359815,1.479443844
82,3410268,50303,3359965,1.475045363
83,3410268,47551,3362717,1.394347893
84,3410268,48095,3362173,1.410299718
85,3410268,52184,3358084,1.530202318
86,3410268,69003,3341265,2.023389364
87,3410268,138934,3271334,4.073990666
88,3410268,80718,3329550,2.366910753
89,3410268,63804,3346464,1.870938003
90,3410268,60368,3349900,1.770183458
91,3410268,68552,3341716,2.010164597
92,3410268,80593,3329675,2.363245352
93,3410268,78320,3331948,2.296593699
94,3410268,83937,3326331,2.461302162
95,3410268,80433,3329835,2.358553639
96,3410268,66875,3343393,1.960989576
97,3410268,70324,3339944,2.062125323
98,3410268,88573,3321695,2.597244557
99,3410268,80213,3330055,2.352102533
100,3410268,80334,3329934,2.355650641
101,3410268,84586,3325682,2.480332924
102,3410268,79829,3330439,2.340842421
103,3410268,93268,3317000,2.734917021
104,3410268,92697,3317571,2.718173469
105,3410268,85436,3324832,2.505257651
106,3410268,82528,3327740,2.419985761
107,3410268,84914,3325354,2.489950936
108,3410268,84090,3326178,2.465788613
109,3410268,96621,3313647,2.83323774
110,3410268,123290,3286978,3.61525839
111,3410268,127470,3282798,3.737829402
112,3410268,93194,3317074,2.732747104
113,3410268,98120,3312148,2.877193229
114,3410268,102930,3307338,3.018237863
115,3410268,107309,3302959,3.146644193
116,3410268,114796,3295472,3.366187056
117,3410268,86490,3323778,2.536164313
118,3410268,84551,3325717,2.479306612
119,3410268,84423,3325845,2.475553241
120,3410268,89371,3320897,2.620644477
121,3410268,80862,3329406,2.371133295
122,3410268,83052,3327216,2.435351122
123,3410268,108345,3301923,3.177023037
124,3410268,103042,3307226,3.021522062
125,3410268,85400,3324868,2.504202016
126,3410268,82223,3328045,2.411042182
127,3410268,87426,3322842,2.563610836
128,3410268,76787,3333481,2.25164122
129,3410268,68838,3341430,2.018551035
130,3410268,85526,3324742,2.50789674
131,3410268,120442,3289826,3.531745892
132,3410268,79655,3330613,2.335740182
133,3410268,81910,3328358,2.401864018
134,3410268,109179,3301089,3.201478593
135,3410268,84174,3326094,2.468251762
136,3410268,65180,3345088,1.911286738
137,3410268,78398,3331870,2.298880909
138,3410268,85013,3325255,2.492853934
139,3410268,104000,3306268,3.049613696
140,3410268,147084,3263184,4.312974816
141,3410268,155163,3255105,4.549877018
142,3410268,181218,3229050,5.313893219
143,3410268,207407,3202861,6.081838729
144,3410268,223324,3186944,6.548576241
145,3410268,243218,3167050,7.131932153
146,3410268,242997,3167271,7.125451724
147,3410268,251269,3158999,7.368013306
148,3410268,255500,3154768,7.492079801
149,3410268,267223,3143045,7.835835776
150,3410268,288265,3122003,8.452854732
151,3410268,305956,3104312,8.971611615
152,3410268,321303,3088965,9.421634898
153,3410268,335003,3075265,9.823362856
154,3410268,352875,3057393,10.34742724
155,3410268,358608,3051660,10.5155372
156,3410268,356342,3053926,10.4490908
157,3410268,353217,3057051,10.35745578
158,3410268,346265,3064003,10.15360083
159,3410268,337613,3072655,9.89989643
160,3410268,425208,2985060,12.46846289
161,3410268,525414,2884854,15.40682433
162,3410268,496388,2913880,14.55568888
163,3410268,428582,2981686,12.5673994
164,3410268,394919,3015349,11.58029222
165,3410268,308662,3101606,9.050960218
166,3410268,289895,3120373,8.500651562
167,3410268,315978,3094290,9.265488812
168,3410268,341300,3068968,10.0080111
169,3410268,339958,3070310,9.968659355
170,3410268,355520,3054748,10.42498713
171,3410268,322952,3087316,9.469988869
172,3410268,251763,3158505,7.382498971
173,3410268,225179,3185089,6.602970793
174,3410268,204359,3205909,5.99246159
175,3410268,202719,3207549,5.944371527
176,3410268,196151,3214117,5.751776693
177,3410268,200891,3209377,5.890768702
178,3410268,207561,3202707,6.086354504
179,3410268,209054,3201214,6.130134054
180,3410268,229019,3181249,6.715571914
181,3410268,184901,3225367,5.421890596
182,3410268,135661,3274607,3.978015804
183,3410268,99207,3311061,2.909067557
184,3410268,93046,3317222,2.728407269
185,3410268,113709,3296559,3.334312729
186,3410268,124850,3285418,3.661002596
187,3410268,141023,3269245,4.135246849
188,3410268,119751,3290517,3.511483555
189,3410268,83821,3326447,2.457900669
190,3410268,96499,3313769,2.829660308
191,3410268,103348,3306920,3.030494964
192,3410268,116274,3293994,3.409526759
193,3410268,149047,3261221,4.370536275
194,3410268,106956,3303312,3.136293101
195,3410268,70503,3339765,2.067374177
196,3410268,109674,3300594,3.215993582
197,3410268,135499,3274769,3.973265444
198,3410268,104908,3305360,3.076239169
199,3410268,73690,3336578,2.160827243
200,3410268,90691,3319577,2.659351113
201,3410268,79967,3330301,2.344889023
202,3410268,68522,3341746,2.009284901
203,3410268,56764,3353504,1.664502614
204,3410268,53771,3356497,1.57673825
205,3410268,50937,3359331,1.493636277
206,3410268,69533,3340735,2.038930665
207,3410268,114611,3295657,3.360762263
208,3410268,67529,3342739,1.980166955
209,3410268,104172,3306096,3.054657288
210,3410268,116868,3293400,3.426944745
211,3410268,74255,3336013,2.177394856
212,3410268,63625,3346643,1.865689148
213,3410268,70725,3339543,2.073883929
214,3410268,107283,3302985,3.14588179
215,3410268,65030,3345238,1.906888256
216,3410268,68255,3342013,2.001455604
217,3410268,73686,3336582,2.16070995
218,3410268,71363,3338905,2.092592136
219,3410268,74754,3335514,2.192027137
220,3410268,75081,3335187,2.201615826
221,3410268,79871,3330397,2.342073995
222,3410268,85442,3324826,2.505433591
223,3410268,99507,3310761,2.91786452
224,3410268,114656,3295612,3.362081807
225,3410268,88871,3321397,2.605982873
226,3410268,100101,3310167,2.935282506
227,3410268,125597,3284671,3.682907033
228,3410268,143276,3266992,4.201312038
229,3410268,120844,3289424,3.543533822
230,3410268,122679,3287589,3.59734191
231,3410268,107745,3302523,3.159429112
232,3410268,111131,3299137,3.258717497
233,3410268,120593,3289675,3.536173697
234,3410268,111555,3298713,3.271150537
235,3410268,120193,3290075,3.524444413
236,3410268,94185,3316083,2.761806403
237,3410268,103870,3306398,3.045801679
238,3410268,95388,3314880,2.797082223
239,3410268,138116,3272152,4.050004281
240,3410268,139141,3271127,4.08006057
241,3410268,90594,3319674,2.656506761
242,3410268,90945,3319323,2.666799208
243,3410268,79645,3330623,2.33544695
244,3410268,75106,3335162,2.202348906
245,3410268,72778,3337490,2.134084477
246,3410268,69429,3340839,2.035881051
247,3410268,78776,3331492,2.309965082
248,3410268,69977,3340291,2.051950169
249,3410268,74132,3336136,2.173788101
250,3410268,86125,3324143,2.525461342
251,3410268,94779,3315489,2.779224389
252,3410268,80588,3329680,2.363098736
253,3410268,85588,3324680,2.509714779
254,3410268,115662,3294606,3.391580955
255,3410268,93146,3317122,2.73133959
256,3410268,97276,3312992,2.852444441
257,3410268,111150,3299118,3.259274638
258,3410268,110861,3299407,3.25080023
259,3410268,106260,3304008,3.115884148
260,3410268,123104,3287164,3.609804273
261,3410268,102738,3307530,3.012607807
262,3410268,105937,3304331,3.106412751
263,3410268,107501,3302767,3.152274249
264,3410268,98645,3311623,2.892587914
265,3410268,97528,3312740,2.85983389
266,3410268,102034,3308234,2.991964268
267,3410268,87450,3322818,2.564314593
268,3410268,85903,3324365,2.51895159
269,3410268,83135,3327133,2.437784948
270,3410268,82878,3327390,2.430248884
