frame,whole_area,white_area,black_area,white_area_ratio
6,3346812,38152,3308660,1.1399504961736722
7,3346812,36633,3310179,1.0945640209249878
8,3346812,34065,3312747,1.0178342852840254
9,3346812,33784,3313028,1.009438235550727
10,3346812,31786,3315026,0.9497396328207262
11,3346812,31174,3315638,0.931453574326852
12,3346812,30780,3316032,0.9196811771919068
13,3346812,30302,3316510,0.9053989288911358
14,3346812,29689,3317123,0.8870829912167162
15,3346812,27827,3318985,0.8314479570409095
16,3346812,26986,3319826,0.8063195662021051
17,3346812,24897,3321915,0.7439019580424595
18,3346812,22882,3323930,0.6836954092431843
19,3346812,22322,3324490,0.6669630681376785
20,3346812,21892,3324920,0.6541150205030937
21,3346812,21254,3325558,0.6350521033150354
22,3346812,20494,3326318,0.6123439261004203
23,3346812,21228,3325584,0.6342752446208512
24,3346812,21490,3325322,0.6421035899237841
25,3346812,22412,3324400,0.6696521943867776
26,3346812,22020,3324792,0.6579395556129236
27,3346812,22371,3324441,0.6684271479844103
28,3346812,22541,3324271,0.6735066086771531
29,3346812,24111,3322701,0.7204169221336604
30,3346812,24738,3322074,0.7391511683357177
31,3346812,25245,3321567,0.7542999128723096
32,3346812,31735,3315077,0.9482157946129033
33,3346812,42465,3304347,1.2688194018666121
34,3346812,29413,3317399,0.8788363373861454
35,3346812,27328,3319484,0.8165382459486819
36,3346812,27387,3319425,0.8183011176008691
37,3346812,27350,3319462,0.8171955879206839
38,3346812,28195,3318617,0.8424434954816703
39,3346812,27509,3319303,0.8219463776274258
40,3346812,27416,3319396,0.81916761383669
41,3346812,28131,3318681,0.8405312279267554
42,3346812,28934,3317878,0.8645242099048288
43,3346812,29811,3317001,0.8907282512432727
44,3346812,28920,3317892,0.8641059013771912
45,3346812,27658,3319154,0.8263983755287122
46,3346812,26874,3319938,0.8029730979810041
47,3346812,24914,3321898,0.7444099041117338
48,3346812,24090,3322722,0.7197894593422038
49,3346812,24538,3322274,0.7331753322266086
50,3346812,23414,3323398,0.6995911332934148
51,3346812,23541,3323271,0.7033857892226991
52,3346812,22846,3323966,0.6826197587435445
53,3346812,22139,3324673,0.6614951780978435
54,3346812,23037,3323775,0.6883266822277438
55,3346812,23409,3323403,0.699441737390687
56,3346812,24025,3322787,0.7178473126067434
57,3346812,24926,3321886,0.7447684542782803
58,3346812,25498,3321314,0.7618593455503326
59,3346812,25974,3320838,0.7760818354900125
60,3346812,26953,3319859,0.8053335532441022
61,3346812,27409,3319403,0.8189584595728711
62,3346812,33400,3313412,0.9979646302212373
63,3346812,39017,3307795,1.1657959873455694
64,3346812,27976,3318836,0.8358999549421958
65,3346812,26574,3320238,0.7940093438173402
66,3346812,25699,3321113,0.7678650608399874
67,3346812,23902,3322910,0.7141721733996412
68,3346812,22118,3324694,0.6608677153063871
69,3346812,20819,3325993,0.6220546597777228
70,3346812,19190,3327622,0.5733814746690282
71,3346812,18911,3327901,0.565045183296821
72,3346812,19018,3327794,0.5682422556151945
73,3346812,20203,3326609,0.6036490845616664
74,3346812,22253,3324559,0.6649014046800358
75,3346812,27730,3319082,0.8285496765279914
76,3346812,32127,3314685,0.9599284333867574
77,3346812,35222,3311590,1.0524044971752222
78,3346812,38258,3308554,1.1431176893115
79,3346812,37589,3309223,1.1231285175265298
80,3346812,39932,3306880,1.193135437544744
81,3346812,41066,3305746,1.2270184282833934
82,3346812,41286,3305526,1.2335918480034134
83,3346812,40474,3306338,1.20932995340043
84,3346812,40021,3306791,1.1957946846132976
85,3346812,39606,3307206,1.1833948246868962
86,3346812,39981,3306831,1.1945995173914759
87,3346812,40257,3306555,1.2028461712220466
88,3346812,42852,3303960,1.2803826447377384
89,3346812,42029,3304783,1.255792079148754
90,3346812,43918,3302894,1.3122338511992906
91,3346812,42382,3304430,1.266339429881332
92,3346812,47065,3299747,1.4062636323761237
93,3346812,53327,3293485,1.5933670609523332
94,3346812,39533,3307279,1.1812136445070711
95,3346812,35214,3311598,1.052165463730858
96,3346812,34056,3312756,1.0175653726591156
97,3346812,34099,3312713,1.0188501774225742
98,3346812,33712,3313100,1.007286934551448
99,3346812,36591,3310221,1.0933090953420748
100,3346812,36295,3310517,1.084464857900593
101,3346812,36839,3309973,1.1007191321173702
102,3346812,37197,3309615,1.1114158787526756
103,3346812,38593,3308219,1.153127214794258
104,3346812,37290,3309522,1.1141946425434115
105,3346812,37841,3308971,1.1306580710240073
106,3346812,38901,3307911,1.1623300024022862
107,3346812,38504,3308308,1.1504679677257044
108,3346812,38990,3307822,1.1649892494708398
109,3346812,38491,3308321,1.1500795383786122
110,3346812,38371,3308441,1.1464940367131466
111,3346812,39230,3307582,1.1721602528017707
112,3346812,39832,3306980,1.1901475194901896
113,3346812,39883,3306929,1.1916713576980122
114,3346812,39573,3307239,1.1824088117288931
115,3346812,42413,3304399,1.2672656844782437
116,3346812,45878,3300934,1.370797045068561
117,3346812,51101,3295711,1.5268560050579476
118,3346812,53928,3292884,1.6113244484602063
119,3346812,54487,3292325,1.6280269103851668
120,3346812,59000,3287812,1.7628716521872159
121,3346812,60787,3286025,1.8162657478221065
122,3346812,65660,3281152,1.9618669946205523
123,3346812,71579,3275233,2.1387218642696393
124,3346812,60745,3286067,1.8150108222391936
125,3346812,63010,3283802,1.8826871661748554
126,3346812,64012,3282800,1.9126261050814923
127,3346812,67181,3279631,2.007313228230328
128,3346812,69608,3277204,2.079829999414368
129,3346812,69743,3277069,2.083863688788017
130,3346812,68798,3278014,2.0556278631724756
131,3346812,65642,3281170,1.9613291693707327
132,3346812,62806,3284006,1.876591813343564
133,3346812,63416,3283396,1.8948181134763469
134,3346812,63204,3283608,1.8884837272006911
135,3346812,62229,3284583,1.8593515261687839
136,3346812,58280,3288532,1.7413586421944227
137,3346812,55214,3291598,1.6497490746417784
138,3346812,52297,3294515,1.5625915049904207
139,3346812,52259,3294553,1.56145609612969
140,3346812,51810,3295002,1.54804034406474
141,3346812,51987,3294825,1.5533289590213015
142,3346812,53831,3292981,1.6084261679472882
143,3346812,55554,3291258,1.6599079960272642
144,3346812,58422,3288390,1.74560148583189
145,3346812,63592,3283220,1.900076849252363
146,3346812,67512,3279300,2.0172032369909036
147,3346812,70249,3276563,2.0989825541440634
148,3346812,72120,3274692,2.1548865009447797
149,3346812,74103,3272709,2.2141369159665976
150,3346812,74908,3271904,2.238189656305762
151,3346812,74046,3272766,2.212433802675501
152,3346812,77876,3268936,2.3268710641649424
153,3346812,84403,3262409,2.5218924755857217
154,3346812,67570,3279242,2.018936229462545
155,3346812,67662,3279150,2.0216851140727354
156,3346812,69883,3276929,2.0880467740643933
157,3346812,70737,3276075,2.1135635942502895
158,3346812,74853,3271959,2.236546301375757
159,3346812,75952,3270860,2.269383520795312
160,3346812,68038,3278774,2.032919685957861
161,3346812,63781,3283031,1.9057240143754712
162,3346812,60952,3285860,1.8211958126121217
163,3346812,59795,3287017,1.7866256007209247
164,3346812,58363,3288449,1.7438386141797029
165,3346812,56248,3290564,1.6806441473258733
166,3346812,51681,3295131,1.5441859297743645
167,3346812,47312,3299500,1.4136437899708738
168,3346812,42613,3304199,1.273241520587353
169,3346812,41050,3305762,1.2265403613946644
170,3346812,40610,3306202,1.2133935219546244
171,3346812,40441,3306371,1.208343940442427
172,3346812,41314,3305498,1.2344284650586888
173,3346812,42025,3304787,1.2556725624265719
174,3346812,43008,3303804,1.2850437969028436
175,3346812,44769,3302043,1.3376610338435502
176,3346812,46614,3300198,1.3927881219500826
177,3346812,46380,3300432,1.385796393702425
178,3346812,46317,3300495,1.3839140053280554
179,3346812,47874,3298938,1.4304358894374707
180,3346812,48532,3298280,1.4500963902364399
181,3346812,48560,3298252,1.4509330072917153
182,3346812,52207,3294605,1.5599023787413215
183,3346812,55534,3291278,1.6593104124163531
184,3346812,42214,3304598,1.2613197275496801
185,3346812,42755,3304057,1.2774843642248206
186,3346812,44457,3302355,1.32833872951334
187,3346812,43625,3303187,1.3034792512994455
188,3346812,42141,3304671,1.2591385473698553
189,3346812,42828,3303984,1.2796655444046452
190,3346812,44350,3302462,1.3251416571949666
191,3346812,47084,3299728,1.4068313368064893
192,3346812,48734,3298078,1.4561319847066403
193,3346812,49537,3297275,1.4801249666847138
194,3346812,48074,3298738,1.4364117255465798
195,3346812,47403,3299409,1.4163627954005185
196,3346812,47744,3299068,1.4265515959665496
197,3346812,48965,3297847,1.4630340754126614
198,3346812,51657,3295155,1.5434688294412713
199,3346812,52848,3293964,1.5790549334710167
200,3346812,51284,3295528,1.5323238950977824
201,3346812,52756,3294056,1.5763060488608265
202,3346812,52270,3294542,1.561784767115691
203,3346812,56081,3290731,1.675654324174767
204,3346812,57873,3288939,1.7291978157123855
205,3346812,58890,3287922,1.7595849423272056
206,3346812,56838,3289974,1.6982728638477453
207,3346812,55900,3290912,1.6702461924960232
208,3346812,55370,3291442,1.6544102268068837
209,3346812,51913,3294899,1.5511178996609312
210,3346812,50506,3296306,1.5090778926333477
211,3346812,50583,3296229,1.5113785895353549
212,3346812,56912,3289900,1.7004839232081157
213,3346812,63505,3283307,1.8974773605449007
214,3346812,52046,3294766,1.5550918306734887
215,3346812,52925,3293887,1.5813556303730234
216,3346812,54470,3292342,1.627518964315892
217,3346812,55412,3291400,1.6556651523897965
218,3346812,56130,3290682,1.6771184040214986
219,3346812,54645,3292167,1.6327478209113628
220,3346812,52091,3294721,1.556436393798038
221,3346812,49161,3297651,1.4688903947995884
222,3346812,50128,3296684,1.4977835623871314
223,3346812,51899,3294913,1.5506995911332933
224,3346812,52142,3294670,1.5579602320058612
225,3346812,52950,3293862,1.5821026098866622
226,3346812,53613,3293199,1.6019125065883593
227,3346812,53193,3293619,1.58936325075923
228,3346812,53923,3292889,1.6111750525574786
229,3346812,52172,3294640,1.5588566074222274
230,3346812,51114,3295698,1.5272444344050398
231,3346812,47837,3298975,1.4293303597572855
232,3346812,44406,3302406,1.326814891305517
233,3346812,41750,3305062,1.2474557877765466
234,3346812,40137,3306675,1.199260669556581
235,3346812,39716,3307096,1.1866815345469062
236,3346812,36887,3309925,1.1021533327835564
237,3346812,34342,3312470,1.0261108182951417
238,3346812,33049,3313763,0.9874770378497507
239,3346812,29094,3317718,0.8693048787921163
240,3346812,25557,3321255,0.7636222172025199
241,3346812,24806,3322006,0.7411829526128147
242,3346812,29836,3316976,0.8914752307569114
243,3346812,35762,3311050,1.0685392546698171
244,3346812,22622,3324190,0.6759268223013423
245,3346812,20926,3325886,0.6252517320960963
246,3346812,21154,3325658,0.6320641852604807
247,3346812,22616,3324196,0.6757475472180691
248,3346812,23294,3323518,0.6960056316279493
249,3346812,23727,3323085,0.7089433168041707
